ID_AUFTRAG_ZPM,n0_3,STW_NUM,BIEGESTEIFIGKEIT,MASSE,DATUM_GESAMT_BAUJAHR,V_SOLL_IST,BETA_HT_M_DEB,HOEHE_KONST_UEB_MITTE_DEB,Ssp_Randkonstruktion,WANDSCHIEFE_RAHMEN_P1_NUM2,DEB_I_LAGERUNG_UEBERBAU2
20284,4.847,12,2438,12.35,1985,130,1,0.47,1,18,0
20306,2.914,21,13280,19.84,1992,140,1.5,0.82,1,0,0
20313,11.043,8.2,1859,8.32,1915,250,1.017,0.52,0,0,1
20326,3.337,18.7,9808,17.77,2000,200,1,0.78,1,0,0
20357,5.161,12.96,5104,16.76,2001,130,1.15,0.65,1,21.771,0
20376,19.783,6.5,3259,11.51,1915,140,1.18,0.6,1,14.004,1
20388,4.764,13,3715,14.14,1970,120,1.032,0.55,1,19.368,0
20395,2.635,24.78,19986,18.84,1985,120,1,1.05,1,23.049,1
20396,13.525,8.7,4944,11.64,1905,110,1.095,0.64,1,0,1
20496,9.382,9.55,3163,10.66,1933,160,1.216,0.65,1,0,0
20497,19.918,6.15,2199,9.56,1932,160,1.398,0.6,1,0,0
20500,15.467,5.6,780,8.18,1914,140,2.5,0.4,1,66.996,1
20522,13.429,5.47,674,10.3,1980,160,1.05,0.32,1,5.4,0
20525,12.348,6.22,826,8.93,1972,140,0.853,0.4,1,31.5,0
20558,5.849,9.47,1415,12.69,1985,120,1.22,0.41,1,2.367,0
20560,5.742,13.5,8554,19.27,1999,160,1.21,0.8,1,0,0
20571,6.127,10.2,2655,16.12,1986,100,1.119,0.51,1,28.08,1
20576,6.935,12.75,8190,15.9,1909,120,1.236,0.8,1,48.96,1
20578,9.786,6.7,474,6.06,1967,130,1.055,0.31,0,0,1
20594,17.309,5.8,1484,10.8,1950,140,1.01,0.49,1,0,1
20602,13.99,6.55,1232.2,8.44,1913,140,0.918,0.46,1,32.832,1
20604,20.961,5.8,1864,9.25,1932,160,0.951,0.57,1,0,0
20616,25.068,4.5,683,6.54,1928,140,1.135,0.4,1,50.004,1
20630,4.533,13.6,4114,14.44,1992,140,1.09,0.6,1,29.7,0
20632,3.744,20.5,22732,22.66,1977,120,1.08,1.01,1,0,0
20643,6.577,9.56,1823,12.45,1989,130,1.106,0.46,1,4.5,0
20657,9.722,10.8,8803,16.89,1933,110,1.134,0.78,1,0,1
20666,13.525,8.7,4944,11.64,1905,110,1.095,0.64,1,0,1
20675,5.742,13.5,8554,19.27,1999,160,1.21,0.8,1,0,0
20679,12.273,5.8,1533,22.19,1982,140,1,0.38,1,4.77,0
20680,27.855,4.8,2721,16.3,1934,160,1.42,0.6,1,0,1
20684,3.262,19.24,10274,17.39,2009,160,1,0.85,1,20.43,0
20706,4.442,13,3529,15.45,1999,120,1.22,0.55,1,0,0
20710,15.024,5.75,1270,12.7,1915,120,0.962,0.55,1,0,1
20713,8.612,8.7,1913,11.11,1927,140,0.87,0.52,1,0,1
20714,4.488,14.3,5898,17.275,1999,120,1.22,0.58,1,0,0
