ID_AUFTRAG_ZPM,STW_NUM,n0_3,BIEGESTEIFIGKEIT,MASSE,DATUM_GESAMT_BAUJAHR,V_SOLL_IST,BETA_HT_M_DEB,BETA_HT_Q_DEB,Ssp_Randkonstruktion
5211,14,5.376,7561,16.8,1999,180,1.03,1.04,1
5212,14.5,5.353,10720,20.88,1999,180,1.13,1.04,0
5244,4,27.427,519,6.65,1914,120,0.95,1,1
5245,4,26.694,519,7.02,1914,120,0.95,1,1
5252,4.2,29.601,768,6.95,1914,120,0.971,1.21,1
5253,4.2,29.601,768,6.95,1914,120,0.971,1.21,1
5256,25.085,3.169,34096,21.16,2011,120,2,1.1,1
5257,25.085,3.169,34096,21.16,2011,120,2,1.1,1
5267,3.5,41.615,1305,12.39,1913,120,0.76,0.76,1
5268,7.7,14.556,4039,13.38,1913,120,0.95,0.95,1
5269,7.7,14.488,4169,13.94,1913,120,0.95,0.95,0
5284,24.974,3.178,34448,21.63,2011,120,2,1.1,1
5285,24.974,3.178,34448,21.63,2011,120,2,1.1,1
5321,11.17,8.179,6365,15.08,1935,120,1.14,1.14,1
5322,11.17,8.516,6365,13.91,1935,120,1.14,1.14,1
5365,5.5,19.291,1042,7.55,1914,120,0.85,0.85,1
5366,5.7,16.258,1167,10.32,1937,120,0.89,0.89,1
5369,3.5,20.312,202,8.05,1927,100,0.8,1.24,1
5382,4,36.269,1055,7.73,1974,100,0.76,0.76,1
5383,3.6,28.425,440,8,1920,100,0.78,0.78,1
5400,4.75,15.229,434,9.07,1978,100,0.86,0.87,1
5401,4.75,15.64,434,8.6,1978,100,0.86,0.87,1
5411,4.6,15.611,398,9,1974,120,1.419,2.11,1
5447,4.25,25.576,550.1,6.36,1929,200,1.37,1,1
5448,4.25,25.576,550.1,6.36,1929,200,1.37,1,1
5451,4.5,14.356,431.2,12.59,1932,200,0.809,3.08,1
5452,4.5,14.356,431.2,12.59,1932,200,0.809,3.08,1
5455,6.2,13.855,1427.8,12.42,1926,200,0.901,0.9,1
5456,6.2,13.855,1427.8,12.42,1926,200,0.901,0.9,1
5462,6.786,12.421,2122.73,16.01,2012,140,2.25,2.07,1
5463,6.786,13.432,2122.73,13.69,2012,140,2.33,2.07,1
5464,9.4,7.531,2370.5,13.21,1979,160,1,1,1
